Date,Product Name,Region,Quantity
01-01-2023,silenser,Bangalore,47
01-01-2023,Engine,Bangalore,61
01-01-2023,Transmission,kolkata,68
01-01-2023,Brake Pads,Mangalore,41
01-01-2023,Alternator,chennai,86
01-01-2023,Starter Motor,Bangalore,37
01-01-2023,Suspension System,Bangalore,72
01-01-2023,Fuel Pump,kolkata,52
01-01-2023,Exhaust System,punjab,15
01-01-2023,Battery,mumbai,78
02-01-2023,silenser,chennai,90
02-01-2023,Engine,Mangalore,41
02-01-2023,Transmission,Mangalore,35
02-01-2023,Brake Pads,kerala,43
02-01-2023,Alternator,kerala,86
02-01-2023,Starter Motor,chennai,52
02-01-2023,Suspension System,Bangalore,78
02-01-2023,Fuel Pump,rajasthan,54
02-01-2023,Exhaust System,kerala,89
02-01-2023,Battery,kolkata,45
03-01-2023,silenser,Bangalore,8
03-01-2023,Engine,chennai,75
03-01-2023,Transmission,punjab,72
03-01-2023,Brake Pads,Mangalore,70
03-01-2023,Alternator,Delhi,35
03-01-2023,Starter Motor,mumbai,42
03-01-2023,Suspension System,Delhi,73
03-01-2023,Fuel Pump,Mangalore,50
03-01-2023,Exhaust System,punjab,65
03-01-2023,Battery,mumbai,52
04-01-2023,silenser,Mangalore,18
04-01-2023,Engine,punjab,40
04-01-2023,Transmission,kolkata,94
04-01-2023,Brake Pads,kerala,40
04-01-2023,Alternator,Mangalore,93
04-01-2023,Starter Motor,rajasthan,12
04-01-2023,Suspension System,mumbai,40
04-01-2023,Fuel Pump,kolkata,51
04-01-2023,Exhaust System,Delhi,9
04-01-2023,Battery,rajasthan,73
05-01-2023,silenser,rajasthan,83
05-01-2023,Engine,rajasthan,37
05-01-2023,Transmission,Delhi,31
05-01-2023,Brake Pads,mumbai,71
05-01-2023,Alternator,Delhi,13
05-01-2023,Starter Motor,kolkata,99
05-01-2023,Suspension System,Delhi,75
05-01-2023,Fuel Pump,kolkata,38
05-01-2023,Exhaust System,kolkata,6
05-01-2023,Battery,mumbai,99
06-01-2023,silenser,punjab,67
06-01-2023,Engine,Mangalore,63
06-01-2023,Transmission,Bangalore,92
06-01-2023,Brake Pads,rajasthan,19
06-01-2023,Alternator,Delhi,25
06-01-2023,Starter Motor,chennai,83
06-01-2023,Suspension System,Delhi,62
06-01-2023,Fuel Pump,Bangalore,46
06-01-2023,Exhaust System,Delhi,34
06-01-2023,Battery,punjab,35
07-01-2023,silenser,kerala,44
07-01-2023,Engine,Delhi,16
07-01-2023,Transmission,Delhi,9
07-01-2023,Brake Pads,Delhi,3
07-01-2023,Alternator,chennai,63
07-01-2023,Starter Motor,Delhi,49
07-01-2023,Suspension System,chennai,17
07-01-2023,Fuel Pump,kerala,34
07-01-2023,Exhaust System,chennai,45
07-01-2023,Battery,Mangalore,14
08-01-2023,silenser,Mangalore,26
08-01-2023,Engine,chennai,53
08-01-2023,Transmission,punjab,23
08-01-2023,Brake Pads,Delhi,92
08-01-2023,Alternator,punjab,89
08-01-2023,Starter Motor,mumbai,19
08-01-2023,Suspension System,Delhi,12
08-01-2023,Fuel Pump,mumbai,6
08-01-2023,Exhaust System,chennai,53
08-01-2023,Battery,chennai,88
09-01-2023,silenser,Mangalore,6
09-01-2023,Engine,Bangalore,62
09-01-2023,Transmission,rajasthan,31
09-01-2023,Brake Pads,chennai,4
09-01-2023,Alternator,kerala,94
09-01-2023,Starter Motor,kolkata,51
09-01-2023,Suspension System,kerala,52
09-01-2023,Fuel Pump,rajasthan,98
